month,sessions,view_item_sessions,add_to_cart_sessions,checkout_sessions,funnel_purchase_sessions,purchase_sessions,session_to_view_rate,view_to_cart_rate,cart_to_checkout_rate,checkout_to_purchase_rate,funnel_completion_rate,session_to_purchase_rate,checkout_without_cart_sessions,purchase_without_checkout_sessions
2020-11-01,108401,25943,2196,1043,429,1617,0.23932436047637937,0.08464711097405851,0.4749544626593807,0.411313518696069,0.003957528067084252,0.014916836560548334,3542,2
2020-12-01,133368,27976,8446,3375,1586,2116,0.20976546098014517,0.30190162996854447,0.39959744257636753,0.4699259259259259,0.011891908103892988,0.01586587487253314,987,1
2021-01-01,118380,23105,4531,1541,833,1115,0.1951765500929211,0.19610473923393204,0.3401015228426396,0.5405580791693705,0.007036661598242946,0.009418820746747762,616,0
